,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,ref,date
140,New Caledonia,15,+1,,,,15,,53.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
141,El Salvador,13,,,,,13,,2.0,,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
142,Tanzania,13,,,,1.0,12,,0.2,,Mar 15,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
143,Djibouti,12,+1,,,,12,,12.0,,Mar 17,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
144,Equatorial Guinea,12,,,,,12,,9.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
145,Dominica,11,,,,,11,,153.0,,Mar 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
146,Mali,11,+7,,,,11,,0.5,,Mar 24,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
147,Mongolia,11,,,,,11,,3.0,,Mar 09,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
148,Saint Martin,11,,,,,11,,284.0,,Feb 29,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
149,Niger,10,,1.0,,,9,,0.4,0.04,Mar 18,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
150,Bahamas,10,+1,,,1.0,9,,25.0,,Mar 14,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
151,Greenland,10,+4,,,2.0,8,,176.0,,Mar 15,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
152,Eswatini,9,+3,,,,9,,8.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
153,Cayman Islands,8,,1.0,,,7,,122.0,15.0,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
154,Curaçao,8,+1,1.0,,2.0,5,,49.0,6.0,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
155,Guinea,8,+4,,,,8,,0.6,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
156,Haiti,8,,,,,8,,0.7,,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
157,Myanmar,8,+3,,,,8,,0.1,,Mar 22,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
158,Namibia,8,,,,2.0,6,,3.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
159,Suriname,8,,,,,8,,14.0,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
160,Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
161,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
162,Grenada,7,,,,,7,,62.0,,Mar 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
163,Mozambique,7,,,,,7,,0.2,,Mar 21,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
164,Seychelles,7,,,,,7,,71.0,,Mar 13,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
165,Benin,6,,,,,6,,0.5,,Mar 15,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
166,Eritrea,6,,,,,6,,2.0,,Mar 20,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
167,Laos,6,,,,,6,,0.8,,Mar 23,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
168,Cabo Verde,5,,1.0,,,4,,9.0,2.0,Mar 19,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
169,Guyana,5,,1.0,,,4,,6.0,1.0,Mar 11,https://web.archive.org/web/20200328211645/https://www.worldometers.info/coronavirus/,20200328211645
